Col_Name,Data_Type,Computed.question.name
s_how_does_the_facility_finally_,factor," Now I would like to ask you a few questions about waste management practices for medical waste other than sharps, such as used bandages."
s_other_medical_waste_disposal,character,s_other_medical_waste_disposal
s_ask_to_view_the_place_used_by,factor,ASK TO SEE THE PLACE USED BY THE FACILITY FOR DISPOSAL OF SHARPS WASTE AND INDICATE THE CONDITION OBSERVED.
pic_med_waste_disposal,Image,Please take a picture of the place used by the facility for disposal of sharps waste and indicate the condition observed
s_is_there_a_functional_incinerat,factor, Is there a functional incinerator in this facility?
s_is_fuel_for_the_incinerator_ava,factor,Is fuel for the incinerator available today?
s_does_this_facility_have_any_sop,factor,Does this facility have any SOP and/or guidelines on health care waste management?
s_have_you_or_any_provider_s_rece,factor,Have you or any provider(s) received formal training in health care waste management practices in the last two years?
s_ask_to_go_to_the_main_location_,factor,ASK TO GO TO THE MAIN LOCATION WHERE EQUIPMENT IS FINALLY PROCESSED FOR REUSE.
s_specify_location_and_go_there_t,character,SPECIFY LOCATION AND GO THERE TO ASSESS EQUIPMENT
pic_equip_storage,Image,Take a picture of equipment storage
notavailable,factor,Now I would like to know about items for sterilizing or high-level disinfecting equipment used for emergency walk-in services.
available,factor,Electric autoclave (pressure and wet heat)
functional,factor,Non-electric autoclave (pressure and wet heat)
inuse,factor,Electric dry heat sterilizer
notavailable.1,factor,Electric boiler or steamer (no pressure)
available.1,factor,Non-electric pot with cover for boiling/steam
functional.1,factor,Heat source for non-electric equipment
inuse.1,factor,Automatic timer (may be on equipment)
notavailable.2,factor,Temperature-Steam-Time (TST) indicator strips or other item that indicates process is complete
available.2,factor,Any chemicals for chemical high-level disinfecting (HLD)
functional.2,factor,functional.2
inuse.2,factor,inuse.2
notavailable.3,factor,notavailable.3
available.3,factor,available.3
functional.3,factor,functional.3
inuse.3,factor,inuse.3
notavailable.4,factor,notavailable.4
available.4,factor,available.4
functional.4,factor,functional.4
inuse.4,factor,inuse.4
notavailable.5,factor,notavailable.5
available.5,factor,available.5
functional.5,factor,functional.5
inuse.5,factor,inuse.5
notavailable.6,factor,notavailable.6
available.6,factor,available.6
functional.6,factor,functional.6
inuse.6,factor,inuse.6
notavailable.7,factor,notavailable.7
available.7,factor,available.7
functional.7,factor,functional.7
inuse.7,factor,inuse.7
notavailable.8,factor,notavailable.8
available.8,factor,available.8
functional.8,factor,functional.8
inuse.8,factor,inuse.8
notavailable.9,factor,notavailable.9
available.9,factor,available.9
functional.9,factor,functional.9
inuse.9,factor,inuse.9
s_are_there_any_guidelines_on_fin,factor,"Are there any guidelines on final processing, that is sterilizing or high level disinfecting, equipment available in this site today?"
reserved_name_for_field_list_labels_316,factor,reserved_name_for_field_list_labels_316
s_ambulance_owned_by_facility,factor, Ambulance owned by facility
s_ambulance_available_on_call,factor, Ambulance available on call
s_official_vehicle_not_an_ambulan,factor,Official vehicle (not an ambulance) owned by facility
s_official_vehicle_available_on_c,factor,Official vehicle available on-call (not an ambulance)
s_private_vehicles_not_ambulance_,factor,Private vehicles (not ambulance) available on call2
s_self_arranged_by_patient,factor,Self-arranged by patient
s_any_other_please_specify,character, Any other. Please specify
s_other_specified_arrangement,character,Other specified arrangement:
do_the_facility_have_a_functio,factor,Do the facility have a functional ambulance or other vehicle for emergency transportation for clients that is stationed at this facility or operates from this facility?
take_a_picture_of_the_ambulance,character,2602a. Take a picture of the ambulance vehicle
is_fuel_available_today_for_th,character,2603. Is fuel available today for the ambulance or other emergency transportation vehicle?
is_there_a_driver_available_on,factor,2604. Is there a driver available onsite or on call today?
does_this_facility_have_access,factor,2605. Does this facility have access to an ambulance or other vehicle for emergency transport for clients that is stationed at another facility or that operates from another facility in near proximity?
s_interview_end_time_use_the_24_h,Time,2701. INTERVIEW END TIME
s_result_codes_last_visit,factor,2702. RESULT CODES:
s_comments_about_the_respondent,character,2703. COMMENTS ABOUT THE RESPONDENT:
s_comments_on_specific_questions,character,2704. COMMENTS ON SPECIFIC QUESTIONS:
s_any_other_comments,character, ANY OTHER COMMENTS:
s_supervisors_observations,character,SUPERVISOR'S OBSERVATIONS:
s_name_of_supervisor,factor,NAME OF SUPERVISOR:
s_date_of_observation,Date,DATE of observation
s_does_this_facility_have_any_for,factor,3101. Does this facility have any formal systems for linking with community based volunteers? (CORPs/CHIPS)
reserved_name_for_field_list_labels_350,factor,reserved_name_for_field_list_labels_350
s_community_engagement,factor,1. Community engagement
s_community_sensitization,factor,2. Community sensitization
s_other_parts_of_linkage,factor,3. Others
s_others_specify,character,3101a. Others (SPECIFY)
s_does_this_facility_offer_antena,factor,3201. Does this facility offer (ANC) services?
reserved_name_for_field_list_labels_362,factor,reserved_name_for_field_list_labels_362
s_iron_supplementation,factor,Iron supplementation
s_folic_acid_supplementation,factor,Folic acid supplementation
s_intermittent_preventive_treatme,factor,Intermittent preventive treatment in pregnancy (IPTp) for malaria
s_tetanus_toxoid_immunization,factor,Tetanus toxoid immunization
s_monitoring_for_hypertensive_dis,factor,Monitoring for hypertensive disorder of pregnancy
s_hiv_testing,factor,hiv testing
s_provision_of_arv_for_s_hiv_positi,factor,Provision of ARV for HIV positive ANC patients
s_diagnosis_and_treatment_for_sex,factor,Diagnosis and treatment for sexually transmitted infections
s_what_is_the_most_common_process,factor,What is the most common process for providing services for sexually transmitted infections for ANC clients?
s_other_process_providing_anc_ser,character,OTHER (SPECIFY)
reserved_name_for_field_list_labels_375,factor,reserved_name_for_field_list_labels_375
s_pcv_test_01,factor,PCV test 01
s_hepatitis_b_test_04,factor,Hepatitis B  test  04
s_hepatitis_c_test_05,factor,Hepatitis C test 05
s_syphilis_test_06,factor,syphilis test 06
s_blood_grouping_02,factor,Blood grouping 02
s_genotype_03,factor,Genotype 03
s_hiv_test_07,factor,hiv test 07
s_urinalysis_08,factor,Urinalysis 08
reserved_name_for_field_list_labels_386,factor,reserved_name_for_field_list_labels_386
s_national_guidelines_and_orienta,factor,National Guidelines and Orientation Package for ANC
s_any_anc_check_lists,factor,Any ANC check-lists
s_any_anc_job_aids,factor,Any ANC job-aids
s_national_guidelines_for_diagnos,factor,National Guidelines for Diagnosis and Treatment of Malaria (2015)
s_unfilled_individual_client_reco,factor,Unfilled individual client record/chart/card
notavailable.10,factor,01. Blood pressure apparatus
available.10,factor,02. Fetal stethoscope
functional.10,factor,03. Adult weighing scale
inuse.10,factor,04. Examination bed
notavailable.11,factor,05. Measuring Tape
available.11,factor,available.11
functional.11,factor,functional.11
inuse.11,factor,inuse.11
notavailable.12,factor,notavailable.12
available.12,factor,available.12
functional.12,factor,functional.12
inuse.12,factor,inuse.12
notavailable.13,factor,notavailable.13
available.13,factor,available.13
functional.13,factor,functional.13
inuse.13,factor,inuse.13
notavailable.14,factor,notavailable.14
available.14,factor,available.14
functional.14,factor,functional.14
inuse.14,factor,inuse.14
take_a_picture_of_these_items,Image,Take a picture of these items
s_does_this_facility_have_a_routi,factor,Does this facility have a routine system for follow-up for HIV positive pregnant women who are referred for ARV treatment?
reserved_name_for_field_list_labels_404,factor,reserved_name_for_field_list_labels_404
s_trace_through_phone_calls_text_,factor,Trace through phone calls/text message
s_trace_through_corps_chips_commu,factor,"Trace through CORPs/ CHIPS, community volunteer or facility outreach"
s_referral_forms_used_with_art_se,factor,Referral forms used with ART services
s_feedback_from_art_services,factor,Feedback from ART services
s_art_information_recorded_on_mch,factor, ART information recorded on MCH cards
s_unique_id_numbers_with_interlin,factor,Unique ID numbers with interlinked monitoring system for PMTCT and ART services
s_other_linkages,factor,Other linkages
s_specify_s_other_linkages,character,Specify other Linkages
s_does_this_facility_provide_pnc_,factor,Does this facility provide PNC as an outpatient service?
reserved_name_for_field_list_labels_418,factor,reserved_name_for_field_list_labels_418
s_is_there_a_register_where_pnc_c,factor, Is there a register where PNC client information is recorded?
s_are_individual_client_charts_ca,factor,Are individual client charts/cards maintained for PNC clients?
s_does_this_facility_have_other_c,factor,Does this facility have other check-lists and/or job-aids (including wall charts) for PNC services?
s_does_this_facility_provide_any_,factor,"Does this facility provide any post-abortion care such as vacuum aspiration or D&C services to remove retained products of conception, or treatment of infections?"
reserved_name_for_field_list_labels_426,factor,reserved_name_for_field_list_labels_426
s_are_there_any_post_abortion_car,factor,Are there any post abortion care guidelines in this service area?
s_does_this_facility_have_othr_c,factor,Does this facility have other check-lists for post abortion care services?
s_does_this_facility_have_other_j,factor,Does this facility have other job-aids for post abortion care services
s_does_this_facility_offer_delive,factor,Does this facility offer delivery (including normal and/or assisted delivery
s_delivery_interview_start_time,Time,INTERVIEW START TIME
s_are_delivery_and_newborn_care_s,factor,Are delivery and newborn care services offered in the outpatient or inpatient service area?
s_does_the_facility_provide_24_ho,factor,Does the facility provide 24-hour coverage for delivery services?
s_is_a_person_skilled_in_conducti,factor," Is a person skilled in conducting deliveries present at the facility or on-Call in near proximity 24 hours a day, including weekends, to provide delivery care?"
s_during_the_day_what_is_the_lowe,factor,"During the day, what is the lowest level of provider who ever conducts deliveries?"
specify_other,character,"During the day, specify other lowest level of provider who ever conducts deliveries"
s_during_the_day_is_there_always_,factor,During the day is there always a delivery provider who has been trained in newborn resuscitation using a bag and mask?
s_during_nights_and_holidays_what,factor,"During nights and holidays, what is the lowest level of provider who ever conducts deliveries?"
s_other_night_delivery,character,"During the night, Specify other lowest level of provider who ever conducts deliveries"
s_during_nights_and_holidays_is_t,factor,During nights and holidays is there always a delivery provider who has been trained in newborn resuscitation using a bag and mask?
s_does_this_facility_have_a_mater,factor,Does this facility have a maternity waiting center (first stage room) where women can stay prior to giving birth?
s_does_facility_have_delivery,factor,Does this facility have a maternity delivery room (second stage room)?
take_a_picture_of_the_delivery,Image,Take a picture of the delivery room
reserved_name_for_field_list_labels_457,factor,reserved_name_for_field_list_labels_457
s_national_guidelines_for_integra,factor,National guidelines for Integrated Management of Pregnancy and Childbirth (IMPAC)/LSS/ELSS/MLSS/ENC Manuals
s_other_national_guidelines_for_e,factor,Other national guidelines for essential childbirth care
s_guidelines_for_safe_birth_pract,factor,Guidelines for safe birth practices for PMTCT
s_any_other_job_aids_for_integrat,factor,"Any other job aids for Integrated Management of Pregnancy and Childbirth, lifesaving skills, or any other aspects of childbirth and newborn care services?"
s_any_check_lists_for_safe_birth_,factor,Any check-lists for safe birth practices for PMTCT
s_any_job_aids_for_safe_birth_pra,factor,Any job-aids for safe birth practices for PMTCT
s_have_you_or_any_provider_s_of_d,factor,Have you or any provider(s) of delivery service received any training in neonatal resuscitation using the newborn bag and mask in the last two years?
s_have_u_or_any_provider_s,factor,"Have you or any provider(s) of delivery service received any training in any other aspect of delivery or essential newborn care, or lifesaving skills in the last two years ?"
reserved_name_for_field_list_labels_470,factor,reserved_name_for_field_list_labels_470
s_active_management_of_third_stag,factor," Active management of third stage labour (AMTSL) including oxytocin within one minute after delivery, controlled cord traction, and fundal massage after delivery of a.placenta?"
s_administration_of_misoprostol_i,factor,Administration of misoprostol immediately after birth to all women for the prevention of post-partum haemorrhage when oxytocin is not available?
s_monitor_and_manage_labour_using,factor,Monitor and manage labour using a partograph
reserved_name_for_field_list_labels_476,factor,reserved_name_for_field_list_labels_476
s_hygienic_cord_care_cut_with_ste,factor,"Hygienic cord care (cut with sterile item and apply 4% Chlorhexidine gel  to tip and stump, and no application of other substance)"
s_thermal_protection_drying_baby_,factor,Thermal protection (drying baby immediately after birth and wrapping)
s_immediate_skin_to_skin_contact,factor, Immediate skin to skin contact
s_delayed_cord_clamping,factor,Delayed cord clamping
s_initiate_breast_feeding_within_,factor, Initiate breast feeding within 1 hour postpartum and counsel on exclusive breastfeeding
reserved_name_for_field_list_labels_486,factor,reserved_name_for_field_list_labels_486
s_parenteral_administration_of_an,factor,Parenteral administration of antibiotics (IV or IM) for mothers for postpartum sepsis?
s_parenteral_administration_of_ox,factor,Parenteral administration of oxytocin  for treatment of post-partum haemorrhage (IV or IM)
s_parenteral_administration_of_ma,factor,Parenteral administration of magnesium sulphate for management of preeclampsia and eclampsia (IV or IM)
s_assisted_vaginal_delivery,factor,Assisted vaginal delivery
s_manual_removal_of_placenta,factor,Manual removal of placenta
s_removal_of_retained_products_of,factor,Removal of retained products of conception
s_neonatal_resuscitation_with_bag,factor,Neonatal resuscitation with bag and mask
s_caesarean_section,factor,Caesarean section
s_does_this_facility_provide_bloo,factor,Does this facility provide blood transfusion?
s_does_this_facility_routinely_pr,factor, Does this facility routinely provide antibiotics for preterm or prolonged PROM to prevent infection?
s_has_this_service_been_provided_,factor,Has this service been provided in the past 12 months?
s_corticosteroids,factor,Does this facility routinely provide corticosteroids for  preterm labour
s_past_months,factor,Has this service been provided in the past 12 months?
s_pmtct_services,factor,Does this facility provide any PMTCT services for women who deliver in the facility?
reserved_name_for_field_list_labels_503,factor,reserved_name_for_field_list_labels_503
assess_maternal_s_hiv_status,factor, Assess maternal hiv status
provide_s_hiv_counselling_and_tes,factor,Provide hiv counselling and testing services to all pregnant women in labour whose status is  not known
provide_maternal_arv_to_infecte,factor,Provide maternal ARV to infected mothers for PMTCT
provide_arv_to_newborns_of_infe,factor,Provide ARV to newborns of infected mothers for PMTCT
s_has_there_been_a_delivery_for_a,factor,Has there been a delivery for an hiv positive woman during the past 3 months?
reserved_name_for_field_list_labels_514,factor,reserved_name_for_field_list_labels_514
s_clean_running_water_piped_buc,factor,"Clean running water (piped, bucket with tap, or pour pitcher)"
calc_WaterRecept,factor,calc_WaterRecept
hand_washing_liquid_soap,factor, Hand-washing liquid soap
alcohol_based_hand_rub,factor,Alcohol based hand rub
waste_receptacle_bin_with_lid_a,factor, Waste receptacle bin with lid and plastic bin liner
waste_bin_is_clearly_marked_for,factor," Waste bin is clearly marked, for example, by label or colour, for infectious non-sharp waste"
sharps_container_safety_box,factor,"Sharps container (""safety box"")"
environmental_disinfectant_e_g_,factor," Environmental disinfectant (e.g., chlorine, alcohol)"
disposable_syringes_with_dispos,factor, Disposable syringes with disposable needles
auto_disable_syringes,factor,Auto-disable syringes
take_picture_of_water_receptacl,Image,Take picture of water receptacle
s_is_there_electricity_in_this_se,factor,Is there electricity in this service area that is functional now?
unfilled_partograph,factor, Items applicable for delivery. Please select.
delivery_bed,factor,delivery_bed
disposable_sterile_latex_glove,factor,disposable_sterile_latex_glove
examination_light,factor,examination_light
delivery_pack,factor,delivery_pack
cord_clamp,factor,cord_clamp
episiotomy_scissors,factor,episiotomy_scissors
scissors_or_surgical_blade_to,factor,scissors_or_surgical_blade_to
suture_materials_with_needle,factor,suture_materials_with_needle
needle_holder,factor,needle_holder
manual_vacuum_extractor,factor,manual_vacuum_extractor
vacuum_aspirator,factor,vacuum_aspirator
c_kit,factor,c_kit
speculum,factor,speculum
blood_pressure_apparatus,factor,blood_pressure_apparatus
fetal_stethoscope,factor,fetal_stethoscope
wrap_for_drying_newborn,factor,wrap_for_drying_newborn
infant_scale_with_100_gram_gra,factor,infant_scale_with_100_gram_gra
incubator_may_be_in_nursery,factor,incubator_may_be_in_nursery
resuscitation_table_with_heat,factor,resuscitation_table_with_heat
electric_or_manual_suction_pum,factor,electric_or_manual_suction_pum
suction_catheter_for_suction_a,factor,suction_catheter_for_suction_a
suction_bulb_single_use,factor,suction_bulb_single_use
suction_bulb_sterilizable_mult,factor,suction_bulb_sterilizable_mult
thermometer,factor,thermometer
self_inflating_bag_and_mask_fo,factor,self_inflating_bag_and_mask_fo
newborn_bag_and_mask_size_0_fo,factor,newborn_bag_and_mask_size_0_fo
newborn_bag_and_mask_size_1_fo,factor,newborn_bag_and_mask_size_1_fo
s_repeat_starts_count,factor,s_repeat_starts_count
s_current_equipment_name,factor,s_current_equipment_name
s_current_equipment_label,factor,s_current_equipment_label
s_group_starts.s_what_is_the_status_of_current,factor,s_group_starts.s_what_is_the_status_of_current
s_group_starts.CalcCurrEquipStat,factor,s_group_starts.CalcCurrEquipStat
s_group_starts.take_a_picture_of_s_current_equ,Image,s_group_starts.take_a_picture_of_s_current_equ
s_what_is_the_functional_status,factor,s_what_is_the_functional_status
s_current_equipment_name.1,factor,s_current_equipment_name.1
s_current_equipment_label.1,factor,s_current_equipment_label.1
s_group_starts.s_what_is_the_status_of_current.1,factor,s_group_starts.s_what_is_the_status_of_current.1
s_group_starts.CalcCurrEquipStat.1,factor,s_group_starts.CalcCurrEquipStat.1
s_group_starts.take_a_picture_of_s_current_equ.1,Image,s_group_starts.take_a_picture_of_s_current_equ.1
s_what_is_the_functional_status.1,factor,s_what_is_the_functional_status.1
s_current_equipment_name.2,factor,s_current_equipment_name.2
s_current_equipment_label.2,factor,s_current_equipment_label.2
s_group_starts.s_what_is_the_status_of_current.2,factor,s_group_starts.s_what_is_the_status_of_current.2
s_group_starts.CalcCurrEquipStat.2,factor,s_group_starts.CalcCurrEquipStat.2
s_group_starts.take_a_picture_of_s_current_equ.2,Image,s_group_starts.take_a_picture_of_s_current_equ.2
s_what_is_the_functional_status.2,factor,s_what_is_the_functional_status.2
s_current_equipment_name.3,factor,s_current_equipment_name.3
s_current_equipment_label.3,factor,s_current_equipment_label.3
s_group_starts.s_what_is_the_status_of_current.3,factor,s_group_starts.s_what_is_the_status_of_current.3
s_group_starts.CalcCurrEquipStat.3,factor,s_group_starts.CalcCurrEquipStat.3
s_group_starts.take_a_picture_of_s_current_equ.3,Image,s_group_starts.take_a_picture_of_s_current_equ.3
s_what_is_the_functional_status.3,factor,s_what_is_the_functional_status.3
s_current_equipment_name.4,factor,s_current_equipment_name.4
s_current_equipment_label.4,factor,s_current_equipment_label.4
s_group_starts.s_what_is_the_status_of_current.4,factor,s_group_starts.s_what_is_the_status_of_current.4
s_group_starts.CalcCurrEquipStat.4,factor,s_group_starts.CalcCurrEquipStat.4
s_group_starts.take_a_picture_of_s_current_equ.4,Image,s_group_starts.take_a_picture_of_s_current_equ.4
s_what_is_the_functional_status.4,factor,s_what_is_the_functional_status.4
s_current_equipment_name.5,factor,s_current_equipment_name.5
s_current_equipment_label.5,factor,s_current_equipment_label.5
s_group_starts.s_what_is_the_status_of_current.5,factor,s_group_starts.s_what_is_the_status_of_current.5
s_group_starts.CalcCurrEquipStat.5,factor,s_group_starts.CalcCurrEquipStat.5
s_group_starts.take_a_picture_of_s_current_equ.5,Image,s_group_starts.take_a_picture_of_s_current_equ.5
s_what_is_the_functional_status.5,factor,s_what_is_the_functional_status.5
s_current_equipment_name.6,factor,s_current_equipment_name.6
s_current_equipment_label.6,factor,s_current_equipment_label.6
s_group_starts.s_what_is_the_status_of_current.6,factor,s_group_starts.s_what_is_the_status_of_current.6
s_group_starts.CalcCurrEquipStat.6,factor,s_group_starts.CalcCurrEquipStat.6
s_group_starts.take_a_picture_of_s_current_equ.6,Image,s_group_starts.take_a_picture_of_s_current_equ.6
s_what_is_the_functional_status.6,factor,s_what_is_the_functional_status.6
s_current_equipment_name.7,factor,s_current_equipment_name.7
s_current_equipment_label.7,factor,s_current_equipment_label.7
s_group_starts.s_what_is_the_status_of_current.7,factor,s_group_starts.s_what_is_the_status_of_current.7
s_group_starts.CalcCurrEquipStat.7,factor,s_group_starts.CalcCurrEquipStat.7
s_group_starts.take_a_picture_of_s_current_equ.7,Image,s_group_starts.take_a_picture_of_s_current_equ.7
s_what_is_the_functional_status.7,factor,s_what_is_the_functional_status.7
s_current_equipment_name.8,factor,s_current_equipment_name.8
s_current_equipment_label.8,factor,s_current_equipment_label.8
s_group_starts.s_what_is_the_status_of_current.8,factor,s_group_starts.s_what_is_the_status_of_current.8
s_group_starts.CalcCurrEquipStat.8,factor,s_group_starts.CalcCurrEquipStat.8
s_group_starts.take_a_picture_of_s_current_equ.8,Image,s_group_starts.take_a_picture_of_s_current_equ.8
s_what_is_the_functional_status.8,factor,s_what_is_the_functional_status.8
s_current_equipment_name.9,factor,s_current_equipment_name.9
s_current_equipment_label.9,factor,s_current_equipment_label.9
s_group_starts.s_what_is_the_status_of_current.9,factor,s_group_starts.s_what_is_the_status_of_current.9
s_group_starts.CalcCurrEquipStat.9,factor,s_group_starts.CalcCurrEquipStat.9
s_group_starts.take_a_picture_of_s_current_equ.9,Image,s_group_starts.take_a_picture_of_s_current_equ.9
s_what_is_the_functional_status.9,factor,s_what_is_the_functional_status.9
s_current_equipment_name.10,factor,s_current_equipment_name.10
s_current_equipment_label.10,factor,s_current_equipment_label.10
s_group_starts.s_what_is_the_status_of_current.10,factor,s_group_starts.s_what_is_the_status_of_current.10
s_group_starts.CalcCurrEquipStat.10,factor,s_group_starts.CalcCurrEquipStat.10
s_group_starts.take_a_picture_of_s_current_equ.10,Image,s_group_starts.take_a_picture_of_s_current_equ.10
s_what_is_the_functional_status.10,factor,s_what_is_the_functional_status.10
s_current_equipment_name.11,factor,s_current_equipment_name.11
s_current_equipment_label.11,factor,s_current_equipment_label.11
s_group_starts.s_what_is_the_status_of_current.11,factor,s_group_starts.s_what_is_the_status_of_current.11
s_group_starts.CalcCurrEquipStat.11,factor,s_group_starts.CalcCurrEquipStat.11
s_group_starts.take_a_picture_of_s_current_equ.11,Image,s_group_starts.take_a_picture_of_s_current_equ.11
s_what_is_the_functional_status.11,factor,s_what_is_the_functional_status.11
s_current_equipment_name.12,factor,s_current_equipment_name.12
s_current_equipment_label.12,factor,s_current_equipment_label.12
s_group_starts.s_what_is_the_status_of_current.12,factor,s_group_starts.s_what_is_the_status_of_current.12
s_group_starts.CalcCurrEquipStat.12,factor,s_group_starts.CalcCurrEquipStat.12
s_group_starts.take_a_picture_of_s_current_equ.12,Image,s_group_starts.take_a_picture_of_s_current_equ.12
s_what_is_the_functional_status.12,factor,s_what_is_the_functional_status.12
s_current_equipment_name.13,factor,s_current_equipment_name.13
s_current_equipment_label.13,factor,s_current_equipment_label.13
s_group_starts.s_what_is_the_status_of_current.13,factor,s_group_starts.s_what_is_the_status_of_current.13
s_group_starts.CalcCurrEquipStat.13,factor,s_group_starts.CalcCurrEquipStat.13
s_group_starts.take_a_picture_of_s_current_equ.13,Image,s_group_starts.take_a_picture_of_s_current_equ.13
s_what_is_the_functional_status.13,factor,s_what_is_the_functional_status.13
s_current_equipment_name.14,factor,s_current_equipment_name.14
s_current_equipment_label.14,factor,s_current_equipment_label.14
s_group_starts.s_what_is_the_status_of_current.14,factor,s_group_starts.s_what_is_the_status_of_current.14
s_group_starts.CalcCurrEquipStat.14,factor,s_group_starts.CalcCurrEquipStat.14
s_group_starts.take_a_picture_of_s_current_equ.14,Image,s_group_starts.take_a_picture_of_s_current_equ.14
s_what_is_the_functional_status.14,factor,s_what_is_the_functional_status.14
s_current_equipment_name.15,factor,s_current_equipment_name.15
s_current_equipment_label.15,factor,s_current_equipment_label.15
s_group_starts.s_what_is_the_status_of_current.15,factor,s_group_starts.s_what_is_the_status_of_current.15
s_group_starts.CalcCurrEquipStat.15,factor,s_group_starts.CalcCurrEquipStat.15
s_group_starts.take_a_picture_of_s_current_equ.15,Image,s_group_starts.take_a_picture_of_s_current_equ.15
s_what_is_the_functional_status.15,factor,s_what_is_the_functional_status.15
s_current_equipment_name.16,factor,s_current_equipment_name.16
s_current_equipment_label.16,factor,s_current_equipment_label.16
s_group_starts.s_what_is_the_status_of_current.16,factor,s_group_starts.s_what_is_the_status_of_current.16
s_group_starts.CalcCurrEquipStat.16,factor,s_group_starts.CalcCurrEquipStat.16
s_group_starts.take_a_picture_of_s_current_equ.16,Image,s_group_starts.take_a_picture_of_s_current_equ.16
s_what_is_the_functional_status.16,factor,s_what_is_the_functional_status.16
s_current_equipment_name.17,factor,s_current_equipment_name.17
s_current_equipment_label.17,factor,s_current_equipment_label.17
s_group_starts.s_what_is_the_status_of_current.17,factor,s_group_starts.s_what_is_the_status_of_current.17
s_group_starts.CalcCurrEquipStat.17,factor,s_group_starts.CalcCurrEquipStat.17
s_group_starts.take_a_picture_of_s_current_equ.17,Image,s_group_starts.take_a_picture_of_s_current_equ.17
s_what_is_the_functional_status.17,factor,s_what_is_the_functional_status.17
s_current_equipment_name.18,factor,s_current_equipment_name.18
s_current_equipment_label.18,factor,s_current_equipment_label.18
s_group_starts.s_what_is_the_status_of_current.18,factor,s_group_starts.s_what_is_the_status_of_current.18
s_group_starts.CalcCurrEquipStat.18,factor,s_group_starts.CalcCurrEquipStat.18
s_group_starts.take_a_picture_of_s_current_equ.18,Image,s_group_starts.take_a_picture_of_s_current_equ.18
s_what_is_the_functional_status.18,factor,s_what_is_the_functional_status.18
s_current_equipment_name.19,factor,s_current_equipment_name.19
s_current_equipment_label.19,factor,s_current_equipment_label.19
s_group_starts.s_what_is_the_status_of_current.19,factor,s_group_starts.s_what_is_the_status_of_current.19
s_group_starts.CalcCurrEquipStat.19,factor,s_group_starts.CalcCurrEquipStat.19
s_group_starts.take_a_picture_of_s_current_equ.19,Image,s_group_starts.take_a_picture_of_s_current_equ.19
s_what_is_the_functional_status.19,factor,s_what_is_the_functional_status.19
s_current_equipment_name.20,factor,s_current_equipment_name.20
s_current_equipment_label.20,factor,s_current_equipment_label.20
s_group_starts.s_what_is_the_status_of_current.20,factor,s_group_starts.s_what_is_the_status_of_current.20
s_group_starts.CalcCurrEquipStat.20,factor,s_group_starts.CalcCurrEquipStat.20
s_group_starts.take_a_picture_of_s_current_equ.20,Image,s_group_starts.take_a_picture_of_s_current_equ.20
s_what_is_the_functional_status.20,factor,s_what_is_the_functional_status.20
s_current_equipment_name.21,factor,s_current_equipment_name.21
s_current_equipment_label.21,factor,s_current_equipment_label.21
s_group_starts.s_what_is_the_status_of_current.21,factor,s_group_starts.s_what_is_the_status_of_current.21
s_group_starts.CalcCurrEquipStat.21,factor,s_group_starts.CalcCurrEquipStat.21
s_group_starts.take_a_picture_of_s_current_equ.21,Image,s_group_starts.take_a_picture_of_s_current_equ.21
s_what_is_the_functional_status.21,factor,s_what_is_the_functional_status.21
s_current_equipment_name.22,factor,s_current_equipment_name.22
s_current_equipment_label.22,factor,s_current_equipment_label.22
s_group_starts.s_what_is_the_status_of_current.22,factor,s_group_starts.s_what_is_the_status_of_current.22
s_group_starts.CalcCurrEquipStat.22,factor,s_group_starts.CalcCurrEquipStat.22
s_group_starts.take_a_picture_of_s_current_equ.22,Image,s_group_starts.take_a_picture_of_s_current_equ.22
s_what_is_the_functional_status.22,factor,s_what_is_the_functional_status.22
s_current_equipment_name.23,factor,s_current_equipment_name.23
s_current_equipment_label.23,factor,s_current_equipment_label.23
s_group_starts.s_what_is_the_status_of_current.23,factor,s_group_starts.s_what_is_the_status_of_current.23
s_group_starts.CalcCurrEquipStat.23,factor,s_group_starts.CalcCurrEquipStat.23
s_group_starts.take_a_picture_of_s_current_equ.23,Image,s_group_starts.take_a_picture_of_s_current_equ.23
s_what_is_the_functional_status.23,factor,s_what_is_the_functional_status.23
s_current_equipment_name.24,factor,s_current_equipment_name.24
s_current_equipment_label.24,factor,s_current_equipment_label.24
s_group_starts.s_what_is_the_status_of_current.24,factor,s_group_starts.s_what_is_the_status_of_current.24
s_group_starts.CalcCurrEquipStat.24,factor,s_group_starts.CalcCurrEquipStat.24
s_group_starts.take_a_picture_of_s_current_equ.24,Image,s_group_starts.take_a_picture_of_s_current_equ.24
s_what_is_the_functional_status.24,factor,s_what_is_the_functional_status.24
s_current_equipment_name.25,factor,s_current_equipment_name.25
s_current_equipment_label.25,factor,s_current_equipment_label.25
s_group_starts.s_what_is_the_status_of_current.25,factor,s_group_starts.s_what_is_the_status_of_current.25
s_group_starts.CalcCurrEquipStat.25,factor,s_group_starts.CalcCurrEquipStat.25
s_group_starts.take_a_picture_of_s_current_equ.25,Image,s_group_starts.take_a_picture_of_s_current_equ.25
s_what_is_the_functional_status.25,factor,s_what_is_the_functional_status.25
s_current_equipment_name.26,factor,s_current_equipment_name.26
s_current_equipment_label.26,factor,s_current_equipment_label.26
s_group_starts.s_what_is_the_status_of_current.26,factor,s_group_starts.s_what_is_the_status_of_current.26
