Col_Name,Data_Type,Computed question name
bloodpressure,Factor,i. Blood pressure
respiratoryrate,Factor,ii. Respiratory rate
temperaturenewborn,Factor,i. Temperature
newbornbagandmasksifunc,Factor,22. Newborn bag and mask size 0 for resuscitation of pre-term babies
suctionbulbsingleusefunc,Factor,18. Suction bulb (single use)
umbilicalcordstatus,Factor,iv. Umbilical cord status
isitfunctionalanc,Factor,1b. Is it functional?
bloodpressureapparatusfunc,Factor,10. Blood pressure apparatus
newbornbagandmasksifunc2,Factor,23. Newborn bag and mask size 1 for resuscitation of term babies
selfinflatingbagandmafunc,Factor,21. Self-inflating bag and mask for resuscitation - adult
checkpadsforbleeding,Factor,iv. Check pads for bleeding
resuscitationtablewithhfunc,Factor,15. Resuscitation table (with heat source) (for newborn resuscitation)
hasthisservicebeenprovcor,Factor,4126. Has this service been provided in the past 12 months?
feedbackfromartservices,Factor,iv. Feedback from ART services
anyguidelinesorjobaidsnewb,Factor,i. Any guidelines or job aids for routine monitoring of the newborn
anyguidelinesorjobaidspost,Factor,iii. Any guidelines or job aids for routine monitoring of the postpartum woman?
standardrecordswithpreprinte,Factor,"ii. Standard records with preprinted columns for information to be recorded for newborn monitoring such as jaundice, feeding, respiratory rate, and temperature."
artinformationrecordedonmch,Factor,v. ART information recorded on MCH cards
referralformsusedwithartse,Factor,iii. Referral forms used with ART services
tracethroughcorpschipscommu,Factor,"ii. Trace through CORPs/ CHIPS, community volunteer or facility outreach"
tracethroughphonecallstext,Factor,i. Trace through phone calls/text message
uniqueidnumberswithinterlin,Factor,vi. Unique ID numbers with interlinked monitoring system for PMTCT and ART services
lastmonthname,Factor,lastmonthname
last2monthname,Factor,last2monthname
last3monthname,Factor,last3monthname
lastmonthlabel,Factor,lastmonthlabel
last2monthlabel,Factor,last2monthlabel
last3monthlabel,Factor,last3monthlabel
optremoffsi,Factor,i. Options for REMOVE OFFSITE
isthereaccesstoemailorint,Factor,2103. Is there access to email or internet within the facility today?
specifylocation,character,2501b. SPECIFY LOCATION
arethereanyjobaidssepsis,Factor,4228. Are there any job aids or guidelines related to newborn sepsis
hasthisfacilityhadanewborn,Factor,4229. Has this facility had a newborn sepsis case within the last 3 months?
haveyouoranotherprovisepsis,Factor,4230. Have you or another provider received training related to newborn sepsis during the last 2 years?
haveyouoranyprovidersofd,Factor,4115a. Have you or any provider(s) of delivery service received any training in neonatal resuscitation using the newborn bag and mask in the last two years?
arethereanyguidelinesonfin,Factor,"2503. Are there any guidelines on final processing, that is sterilizing or high level disinfecting, equipment available in this site today?"
ivcannula,Factor,6a. IV cannula
suctionbulbsterilizablefunc,Factor,19. Suction bulb (sterilizable multi-use)
suctioncatheterforsuctfunc,Factor,17. Suction catheter (for suction apparatus) for suctioning newborn
skindisinfectant,Factor,9a. Skin disinfectant
oxytocininjection,Factor,11a. Oxytocin injection
hydralazineinjection,Factor,2a. Hydralazine injection
isitfunctional2,Factor,3b. Is it functional?
intravenousinfusionset,Factor,5a. Intravenous infusion set
labetalolinj200mgampoule,Factor,3a. Labetalol inj 200mg ampoule)
anystockoutintheoxytocin,Factor,11b. Any stockout in the last 3 months?
magnesiumsulphateinjection,Factor,4a. Magnesium sulphate injection
anystockoutinthelastskin,Factor,9b. Any stockout in the last 3 months?
chlorhexidinesolutionforum,Factor,10a. 4% chlorhexidine solution for umbilical cord
anystockoutinthe4chlorhex,Factor,10b. Any stockout in the last 3 months?
dextroseandwater5d5wintra,Factor,7a. Dextrose and water 5% (D5W) intravenous solution
antibioticeyeointmenterythro,Factor,1a. Antibiotic eye ointment (erythromycin 0.5% eye ointment) for newborn
anystockoutinthelast3nacl,Factor,8b. Any stockout in the last 3 months?
anystockoutinthelast3intr,Factor,5b. Any stockout in the last 3 months?
anystockoutinthelast3mgs4,Factor,4b. Any stockout in the last 3 months?
sodiumchloride09nsintravenou,Factor,8a. Sodium Chloride (.09NS) intravenous solution or Ringers Lactate
immediatereferralwithoutprov,Factor,i. Immediate referral without providing any medicine?
prescribethefullantibioticr,Factor,iii. Prescribe the full antibiotic regimen and follow up
provideonedoseinjectableant,Factor,ii. Provide one dose injectable antibiotic and then refer?
anychecklistsforsafebirth,Factor,v. Any check-lists for safe birth practices for PMTCT
anyjobaidsforsafebirthpra,Factor,vi. Any job-aids for safe birth practices for PMCTC
anychemicalsforchemicalhigh,Factor,9. Any chemicals for chemical high-level disinfecting (HLD)
automatictimermaybeonequip,Factor,7a. Automatic timer (may be on equipment)
electricautoclavepressureand,Factor,1a. Electric autoclave (pressure and wet heat)
electricboilerorsteamernop,Factor,4a. Electric boiler or steamer (no pressure)
heatsourcefornonelectriceq,Factor,6a. Heat source for non-electric equipment
nonelectricautoclavepressure,Factor,2a. Non-electric autoclave (pressure and wet heat)
nonelectricpotwithcoverfor,Factor,5. Non-electric pot with cover for boiling/steam
temperaturesteamtimetstindi,Factor,8. Temperature-Steam-Time (TST) indicator strips or other item that indicates process is complete
medwastedisother,character,medwastedisother
wastedispmeother,character,wastedispmeother
isitfunctional,Factor,1b. Is it functional?
isitfunctional6,Factor,7b. Is it functional?
anystockoutinthelast3cann,Factor,6b. Any stockout in the last 3 months?
anystockoutinthelast3mont,Factor,7b. Any stockout in the last 3 months?
calcinciner,Factor,calcinciner
incfuelavai,Factor,2407. Is fuel for the incinerator available today?
incinerfunc,Factor,2406. Is the incinerator functional today?
optburninci,Factor,i. Options for BURN INCINERATOR (Medical Waste)
isitfunctional5,Factor,6b. Is it functional?
pleasetellmeifthisfacilityother,character,pleasetellmeifthisfacilityother
other2,Factor,v. ${please_tell_me_if_this_facility_other}
wrapfordryingnewbornfunc,Factor,12. Wrap for drying newborn
isitfunctional1,Factor,2b. Is it functional?
anystockoutinthelast3hydra,Factor,2b. Any stockout in the last 3 months?
isitfunctional3,Factor,4b. Is it functional?
electricdryheatsterilizer,Factor,3a. Electric dry heat sterilizer
incubatormaybeinnurseryfun,Factor,14. Incubator (MAY BE IN NURSERY)
duringthedaywhatistheloweother,character,duringthedaywhatistheloweother
duringnightsandholidayswhatother,character,duringnightsandholidayswhatother
anyroureview,character,1212b. Specify any other information source routinely reviewed?
othroutinerev,Factor,vii. ${any_rou_review} routinely reviewed
anystockoutinthelast3antib,Factor,1b. Any stockout in the last 3 months?
optburninme,Factor,i. Options for BURN INCINERATOR (Medical Waste)
optremofsme,Factor,i. Options for REMOVE OFFSITE (Medical Waste)
anystockoutinthelast3labe,Factor,3b. Any stockout in the last 3 months?
istheconnectingtimeforthe,Factor,2104. Is the connecting time for the internet paid or reimbursed by the management?
lgalevel2,Factor,iii. LGA Level
corfaccategother,character,corfaccategother
whatisthesecondarysourceofother,character,whatisthesecondarysourceofother
iptpservices,Factor,xxi. IPTp services
ancx4coverage,Factor,xvii. ANC x 4 coverage
supervisorychecklistwasleft.1,Factor,supervisorychecklistwasleft.1
chlorhexidinegelforcord,Factor,xvi. 4% chlorhexidine gel for cord care
numberofoutpatientvisits,Factor,xx. Number of outpatient visits
deliverybyskilledprovider,Factor,xix. Delivery by skilled provider
paediatriccurativeservices,Factor,xxii. Paediatric curative services
contraceptiveprevalencerate,Factor,xviii. Contraceptive prevalence rate
pregnantwomentestedforhiv,Factor,xxiii. Pregnant women tested for HIV
isthereanyoxygencurrentlyi,Factor,4136. Is there any oxygen currently in the unit?
wasthereanytimeinthelast,Factor,4138. Was there any time in the last 3 months that oxygen was unavailable for this unit for any reason?
pulseoxymeter,Factor,4a. Pulse oxymeter
oxygenanalyzer,Factor,3a. Oxygen Analyzer
isitfunctioning,Factor,1b. Is it functioning?
isitfunctioningdeliv,Factor,2b. Is it functioning?
isitfunctioningpulse,Factor,4b. Is it functioning?
isitfunctioninganalyz,Factor,3b. Is it functioning?
flowmeterforoxygentherapywi,Factor,1a. Flowmeter for oxygen therapy (with humidification)
oxygendeliveryapparatuskeyc,Factor,"2a. Oxygen delivery apparatus (key connecting tubes and mask/nasal prongs,)"
whatisthebasisforthecatchother,character,whatisthebasisforthecatchother
whatisthemostcommonlyusedother,character,whatisthemostcommonlyusedother
