"","x"
"811","med_availability.CalcMedAvail.1"
"812","med_availability.snap_a_picture_of_medicine_labe.1"
"813","is_any_stockout_in_the_last_3_m.1"
"814","medine_name.2"
"815","medicine_label.2"
"816","med_availability.what_is_the_availability_status.2"
"817","med_availability.CalcMedAvail.2"
"818","med_availability.snap_a_picture_of_medicine_labe.2"
"819","is_any_stockout_in_the_last_3_m.2"
"820","medine_name.3"
"821","medicine_label.3"
"822","med_availability.what_is_the_availability_status.3"
"823","med_availability.CalcMedAvail.3"
"824","med_availability.snap_a_picture_of_medicine_labe.3"
"825","is_any_stockout_in_the_last_3_m.3"
"826","medine_name.4"
"827","medicine_label.4"
"828","med_availability.what_is_the_availability_status.4"
"829","med_availability.CalcMedAvail.4"
"830","med_availability.snap_a_picture_of_medicine_labe.4"
"831","is_any_stockout_in_the_last_3_m.4"
"832","medine_name.5"
"833","medicine_label.5"
"834","med_availability.what_is_the_availability_status.5"
"835","med_availability.CalcMedAvail.5"
"836","med_availability.snap_a_picture_of_medicine_labe.5"
"837","is_any_stockout_in_the_last_3_m.5"
"838","medine_name.6"
"839","medicine_label.6"
"840","med_availability.what_is_the_availability_status.6"
"841","med_availability.CalcMedAvail.6"
"842","med_availability.snap_a_picture_of_medicine_labe.6"
"843","is_any_stockout_in_the_last_3_m.6"
"844","medine_name.7"
"845","medicine_label.7"
"846","med_availability.what_is_the_availability_status.7"
"847","med_availability.CalcMedAvail.7"
"848","med_availability.snap_a_picture_of_medicine_labe.7"
"849","is_any_stockout_in_the_last_3_m.7"
"850","medine_name.8"
"851","medicine_label.8"
"852","med_availability.what_is_the_availability_status.8"
"853","med_availability.CalcMedAvail.8"
"854","med_availability.snap_a_picture_of_medicine_labe.8"
"855","is_any_stockout_in_the_last_3_m.8"
"856","medine_name.9"
"857","medicine_label.9"
"858","med_availability.what_is_the_availability_status.9"
"859","med_availability.CalcMedAvail.9"
"860","med_availability.snap_a_picture_of_medicine_labe.9"
"861","is_any_stockout_in_the_last_3_m.9"
"862","medine_name.10"
"863","medicine_label.10"
"864","med_availability.what_is_the_availability_status.10"
"865","med_availability.CalcMedAvail.10"
"866","med_availability.snap_a_picture_of_medicine_labe.10"
"867","is_any_stockout_in_the_last_3_m.10"
"868","what_is_the_availability_status"
"869","CalcMedAvail"
"870","snap_a_picture_of_medicine_labe"
"871","is_the_oxytocin_stored_in_cold"
"872","are_healthy_newborns_routinely_"
"873","reserved_name_for_field_list_labels_581"
"874","temperature"
"875","respiratory_rate"
"876","jaundice"
"877","umbilical_cord_status"
"878","feeding_status"
"879","are_healthy_mothers_routinely_m"
"880","reserved_name_for_field_list_labels_589"
"881","bp"
"882","temp"
"883","fundal_status"
"884","check_pads_for_bleeding"
"885","are_there_any_guidelines_or_job"
"886","reserved_name_for_field_list_labels_596"
"887","any_guidelines_or_job_aids_for_"
"888","standard_records_with_preprinte"
"889","guideline_for_postpartum"
"890","is_kmc_kangaroo_mother_care_for"
"891","has_kmc_been_provided_at_any_ti"
"892","are_there_any_job_aids_or_guide"
"893","have_you_or_another_provider_re"
"894","has_this_facility_ever_seen_cas"
"895","reserved_name_for_field_list_labels_609"
"896","immediate_referral_without_prov"
"897","provide_one_dose_injectable_ant"
"898","prescribe_the_full_antibiotic_r"
"899","job_aids"
"900","has_this_facility_had_a_newborn"
"901","another_provider"
"902","are_maternal_death_reviews_carr"
"903","are_neonatal_death_reviews_carr"
"904","are_perinatal_death_reviews_car"
"905","is_a_delivery_register_maintain"
"906","reserved_name_for_field_list_labels_624"
"907","floor_swept_no_obvious_dirt_or_"
"908","counters_tables_chairs_wiped_cl"
"909","needles_sharps_outside_sharps_b"
"910","sharps_box_overflowing_or_torn_"
"911","bandages_infectious_waste_lying"
"912","were_staff_wearing_appropraite_"
"913","were_staff_wearing_id_badges_in"
"914","were_non_smoking_signs_observed"
"915","s_does_this_facility_offer_blood_"
"916","take_a_picture_of_the_facility"
"917","reserved_name_for_field_list_labels_640"
"918","s_have_there_been_any_interruptio"
"919","s_does_this_facility_obtain_blood"
"920","s_does_this_facility_obtain_any_b"
"921","s_does_any_place_in_this_facility"
"922","reserved_name_for_field_list_labels_647"
"923","s_hiv"
"924","s_syphilis"
"925","s_hepatitis_b"
"926","s_hepatitis_c"
"927","s_does_this_facility_have_a_refri"
"928","s_do_you_have_any_guidelines_on_t"
"929","s_have_any_provider_s_of_blood_tr"
"930","s_interview_end_time"
"931","s_last_visit_result"
"932","s_otha_speci"
"933","s_about_resp"
"934","s_spec_quest"
"935","s_othr_comm"
"936","s_supr_obser"
"937","s_name_o_supr"
"938","s_outro_date"
"939","last_Month_name"
"940","last2_Month_name"
"941","last3_Month_name"
"942","last_Month_label"
"943","last2_Month_label"
"944","last3_Month_label"
"945","outpatient_visits"
"946","paediatric_0_59m___curative_car"
"947","line_"
"948","family_planning_new_acceptors"
"949","antenatal_care_1st_visit"
"950","antenatal_care_total_visit"
"951","antental_women_tested_for_hiv"
"952","delivery_vaginal"
"953","deliveries_c_section"
"954","admissions_for__newborn_inpatie"
"955","total_newborn_inpatient_days"
"956","total_number_of_indicators"
"957","Indicator_name_count"
"958","current_ind_name"
"959","current_ind_label"
"960","status_of_data_source_for_cur1"
"961","status_of_data_source_for_cur2"
"962","current_indicator_iteration"
"963","status_of_data_source_for_cur"
"964","data_source_for_3_months_count"
"965","current_ind_name.1"
"966","current_ind_label.1"
"967","status_of_data_source_for_cur1.1"
"968","status_of_data_source_for_cur2.1"
"969","current_indicator_iteration.1"
"970","status_of_data_source_for_cur.1"
"971","data_source_for_3_months_count.1"
"972","current_ind_name.2"
"973","current_ind_label.2"
"974","status_of_data_source_for_cur1.2"
"975","status_of_data_source_for_cur2.2"
"976","current_indicator_iteration.2"
"977","status_of_data_source_for_cur.2"
"978","data_source_for_3_months_count.2"
"979","current_ind_name.3"
"980","current_ind_label.3"
"981","status_of_data_source_for_cur1.3"
"982","status_of_data_source_for_cur2.3"
"983","current_indicator_iteration.3"
"984","status_of_data_source_for_cur.3"
"985","data_source_for_3_months_count.3"
"986","current_ind_name.4"
"987","current_ind_label.4"
"988","status_of_data_source_for_cur1.4"
"989","status_of_data_source_for_cur2.4"
"990","current_indicator_iteration.4"
"991","status_of_data_source_for_cur.4"
"992","data_source_for_3_months_count.4"
"993","current_ind_name.5"
"994","current_ind_label.5"
"995","status_of_data_source_for_cur1.5"
"996","status_of_data_source_for_cur2.5"
"997","current_indicator_iteration.5"
"998","status_of_data_source_for_cur.5"
"999","data_source_for_3_months_count.5"
"1000","current_ind_name.6"
"1001","current_ind_label.6"
"1002","status_of_data_source_for_cur1.6"
"1003","status_of_data_source_for_cur2.6"
"1004","current_indicator_iteration.6"
"1005","status_of_data_source_for_cur.6"
"1006","data_source_for_3_months_count.6"
"1007","current_ind_name.7"
"1008","current_ind_label.7"
"1009","status_of_data_source_for_cur1.7"
"1010","status_of_data_source_for_cur2.7"
"1011","current_indicator_iteration.7"
"1012","status_of_data_source_for_cur.7"
"1013","data_source_for_3_months_count.7"
"1014","current_ind_name.8"
"1015","current_ind_label.8"
"1016","status_of_data_source_for_cur1.8"
"1017","status_of_data_source_for_cur2.8"
"1018","current_indicator_iteration.8"
"1019","status_of_data_source_for_cur.8"
"1020","data_source_for_3_months_count.8"
"1021","current_ind_name.9"
"1022","current_ind_label.9"
"1023","status_of_data_source_for_cur1.9"
"1024","status_of_data_source_for_cur2.9"
"1025","current_indicator_iteration.9"
"1026","status_of_data_source_for_cur.9"
"1027","data_source_for_3_months_count.9"
"1028","current_ind_name.10"
"1029","current_ind_label.10"
"1030","status_of_data_source_for_cur1.10"
"1031","status_of_data_source_for_cur2.10"
"1032","current_indicator_iteration.10"
"1033","status_of_data_source_for_cur.10"
"1034","data_source_for_3_months_count.10"
"1035","data_source_for_3_months"
"1036","data_source_for_3_months.1"
"1037","data_source_for_3_months.2"
"1038","data_source_for_3_months.3"
"1039","data_source_for_3_months.4"
"1040","data_source_for_3_months.5"
"1041","data_source_for_3_months.6"
"1042","data_source_for_3_months.1..current_month"
"1043","data_source_for_3_months.1..current_month_full"
"1044","data_source_for_3_months.1..data_source_in_current_month"
"1045","data_source_for_3_months.1..for_current_month_is_the_inf"
"1046","data_source_for_3_months.1..in_current_month_what_is_the"
"1047","data_source_for_3_months.2..current_month"
"1048","data_source_for_3_months.2..current_month_full"
"1049","data_source_for_3_months.2..data_source_in_current_month"
"1050","data_source_for_3_months.2..for_current_month_is_the_inf"
"1051","data_source_for_3_months.2..in_current_month_what_is_the"
"1052","data_source_for_3_months.3..current_month"
"1053","data_source_for_3_months.3..current_month_full"
"1054","data_source_for_3_months.3..data_source_in_current_month"
"1055","data_source_for_3_months.3..for_current_month_is_the_inf"
"1056","data_source_for_3_months.3..in_current_month_what_is_the"
"1057","data_source_for_3_months.1..current_month.1"
"1058","data_source_for_3_months.1..current_month_full.1"
"1059","data_source_for_3_months.1..data_source_in_current_month.1"
"1060","data_source_for_3_months.1..for_current_month_is_the_inf.1"
"1061","data_source_for_3_months.1..in_current_month_what_is_the.1"
"1062","data_source_for_3_months.2..current_month.1"
"1063","data_source_for_3_months.2..current_month_full.1"
"1064","data_source_for_3_months.2..data_source_in_current_month.1"
"1065","data_source_for_3_months.2..for_current_month_is_the_inf.1"
"1066","data_source_for_3_months.2..in_current_month_what_is_the.1"
"1067","data_source_for_3_months.3..current_month.1"
"1068","data_source_for_3_months.3..current_month_full.1"
"1069","data_source_for_3_months.3..data_source_in_current_month.1"
"1070","data_source_for_3_months.3..for_current_month_is_the_inf.1"
"1071","data_source_for_3_months.3..in_current_month_what_is_the.1"
"1072","data_source_for_3_months.1..current_month.2"
"1073","data_source_for_3_months.1..current_month_full.2"
"1074","data_source_for_3_months.1..data_source_in_current_month.2"
"1075","data_source_for_3_months.1..for_current_month_is_the_inf.2"
"1076","data_source_for_3_months.1..in_current_month_what_is_the.2"
"1077","data_source_for_3_months.2..current_month.2"
"1078","data_source_for_3_months.2..current_month_full.2"
"1079","data_source_for_3_months.2..data_source_in_current_month.2"
"1080","data_source_for_3_months.2..for_current_month_is_the_inf.2"
"1081","data_source_for_3_months.2..in_current_month_what_is_the.2"
"1082","data_source_for_3_months.3..current_month.2"
"1083","data_source_for_3_months.3..current_month_full.2"
"1084","data_source_for_3_months.3..data_source_in_current_month.2"
"1085","data_source_for_3_months.3..for_current_month_is_the_inf.2"
"1086","data_source_for_3_months.3..in_current_month_what_is_the.2"
"1087","data_source_for_3_months.1..current_month.3"
"1088","data_source_for_3_months.1..current_month_full.3"
"1089","data_source_for_3_months.1..data_source_in_current_month.3"
"1090","data_source_for_3_months.1..for_current_month_is_the_inf.3"
"1091","data_source_for_3_months.1..in_current_month_what_is_the.3"
"1092","data_source_for_3_months.2..current_month.3"
"1093","data_source_for_3_months.2..current_month_full.3"
"1094","data_source_for_3_months.2..data_source_in_current_month.3"
"1095","data_source_for_3_months.2..for_current_month_is_the_inf.3"
"1096","data_source_for_3_months.2..in_current_month_what_is_the.3"
"1097","data_source_for_3_months.3..current_month.3"
"1098","data_source_for_3_months.3..current_month_full.3"
"1099","data_source_for_3_months.3..data_source_in_current_month.3"
"1100","data_source_for_3_months.3..for_current_month_is_the_inf.3"
"1101","data_source_for_3_months.3..in_current_month_what_is_the.3"
"1102","data_source_for_3_months.1..current_month.4"
"1103","data_source_for_3_months.1..current_month_full.4"
"1104","data_source_for_3_months.1..data_source_in_current_month.4"
"1105","data_source_for_3_months.1..for_current_month_is_the_inf.4"
"1106","data_source_for_3_months.1..in_current_month_what_is_the.4"
"1107","data_source_for_3_months.2..current_month.4"
"1108","data_source_for_3_months.2..current_month_full.4"
"1109","data_source_for_3_months.2..data_source_in_current_month.4"
"1110","data_source_for_3_months.2..for_current_month_is_the_inf.4"
"1111","data_source_for_3_months.2..in_current_month_what_is_the.4"
"1112","data_source_for_3_months.3..current_month.4"
"1113","data_source_for_3_months.3..current_month_full.4"
"1114","data_source_for_3_months.3..data_source_in_current_month.4"
"1115","data_source_for_3_months.3..for_current_month_is_the_inf.4"
"1116","data_source_for_3_months.3..in_current_month_what_is_the.4"
"1117","data_source_for_3_months.1..current_month.5"
"1118","data_source_for_3_months.1..current_month_full.5"
"1119","data_source_for_3_months.1..data_source_in_current_month.5"
"1120","data_source_for_3_months.1..for_current_month_is_the_inf.5"
"1121","data_source_for_3_months.1..in_current_month_what_is_the.5"
"1122","data_source_for_3_months.2..current_month.5"
"1123","data_source_for_3_months.2..current_month_full.5"
"1124","data_source_for_3_months.2..data_source_in_current_month.5"
"1125","data_source_for_3_months.2..for_current_month_is_the_inf.5"
"1126","data_source_for_3_months.2..in_current_month_what_is_the.5"
"1127","data_source_for_3_months.3..current_month.5"
"1128","data_source_for_3_months.3..current_month_full.5"
"1129","data_source_for_3_months.3..data_source_in_current_month.5"
"1130","data_source_for_3_months.3..for_current_month_is_the_inf.5"
"1131","data_source_for_3_months.3..in_current_month_what_is_the.5"
"1132","data_source_for_3_months.1..current_month.6"
"1133","data_source_for_3_months.1..current_month_full.6"
"1134","data_source_for_3_months.1..data_source_in_current_month.6"
"1135","data_source_for_3_months.1..for_current_month_is_the_inf.6"
"1136","data_source_for_3_months.1..in_current_month_what_is_the.6"
"1137","data_source_for_3_months.2..current_month.6"
"1138","data_source_for_3_months.2..current_month_full.6"
"1139","data_source_for_3_months.2..data_source_in_current_month.6"
"1140","data_source_for_3_months.2..for_current_month_is_the_inf.6"
"1141","data_source_for_3_months.2..in_current_month_what_is_the.6"
"1142","data_source_for_3_months.3..current_month.6"
"1143","data_source_for_3_months.3..current_month_full.6"
"1144","data_source_for_3_months.3..data_source_in_current_month.6"
"1145","data_source_for_3_months.3..for_current_month_is_the_inf.6"
"1146","data_source_for_3_months.3..in_current_month_what_is_the.6"
"1147","data_source_for_3_months.1..current_month.7"
"1148","data_source_for_3_months.1..current_month_full.7"
"1149","data_source_for_3_months.1..data_source_in_current_month.7"
"1150","data_source_for_3_months.1..for_current_month_is_the_inf.7"
"1151","data_source_for_3_months.1..in_current_month_what_is_the.7"
"1152","data_source_for_3_months.2..current_month.7"
"1153","data_source_for_3_months.2..current_month_full.7"
"1154","data_source_for_3_months.2..data_source_in_current_month.7"
"1155","data_source_for_3_months.2..for_current_month_is_the_inf.7"
"1156","data_source_for_3_months.2..in_current_month_what_is_the.7"
"1157","data_source_for_3_months.3..current_month.7"
"1158","data_source_for_3_months.3..current_month_full.7"
"1159","data_source_for_3_months.3..data_source_in_current_month.7"
"1160","data_source_for_3_months.3..for_current_month_is_the_inf.7"
"1161","data_source_for_3_months.3..in_current_month_what_is_the.7"
"1162","data_source_for_3_months.1..current_month.8"
"1163","data_source_for_3_months.1..current_month_full.8"
"1164","data_source_for_3_months.1..data_source_in_current_month.8"
"1165","data_source_for_3_months.1..for_current_month_is_the_inf.8"
"1166","data_source_for_3_months.1..in_current_month_what_is_the.8"
"1167","data_source_for_3_months.2..current_month.8"
"1168","data_source_for_3_months.2..current_month_full.8"
"1169","data_source_for_3_months.2..data_source_in_current_month.8"
"1170","data_source_for_3_months.2..for_current_month_is_the_inf.8"
"1171","data_source_for_3_months.2..in_current_month_what_is_the.8"
"1172","data_source_for_3_months.3..current_month.8"
"1173","data_source_for_3_months.3..current_month_full.8"
"1174","data_source_for_3_months.3..data_source_in_current_month.8"
"1175","data_source_for_3_months.3..for_current_month_is_the_inf.8"
"1176","data_source_for_3_months.3..in_current_month_what_is_the.8"
"1177","data_source_for_3_months.1..current_month.9"
"1178","data_source_for_3_months.1..current_month_full.9"
"1179","data_source_for_3_months.1..data_source_in_current_month.9"
"1180","data_source_for_3_months.1..for_current_month_is_the_inf.9"
"1181","data_source_for_3_months.1..in_current_month_what_is_the.9"
"1182","data_source_for_3_months.2..current_month.9"
"1183","data_source_for_3_months.2..current_month_full.9"
"1184","data_source_for_3_months.2..data_source_in_current_month.9"
"1185","data_source_for_3_months.2..for_current_month_is_the_inf.9"
"1186","data_source_for_3_months.2..in_current_month_what_is_the.9"
"1187","data_source_for_3_months.3..current_month.9"
"1188","data_source_for_3_months.3..current_month_full.9"
"1189","data_source_for_3_months.3..data_source_in_current_month.9"
"1190","data_source_for_3_months.3..for_current_month_is_the_inf.9"
"1191","data_source_for_3_months.3..in_current_month_what_is_the.9"
"1192","data_source_for_3_months.1..current_month.10"
"1193","data_source_for_3_months.1..current_month_full.10"
"1194","data_source_for_3_months.1..data_source_in_current_month.10"
"1195","data_source_for_3_months.1..for_current_month_is_the_inf.10"
"1196","data_source_for_3_months.1..in_current_month_what_is_the.10"
"1197","data_source_for_3_months.2..current_month.10"
"1198","data_source_for_3_months.2..current_month_full.10"
"1199","data_source_for_3_months.2..data_source_in_current_month.10"
"1200","data_source_for_3_months.2..for_current_month_is_the_inf.10"
"1201","data_source_for_3_months.2..in_current_month_what_is_the.10"
"1202","data_source_for_3_months.3..current_month.10"
"1203","data_source_for_3_months.3..current_month_full.10"
"1204","data_source_for_3_months.3..data_source_in_current_month.10"
"1205","data_source_for_3_months.3..for_current_month_is_the_inf.10"
"1206","data_source_for_3_months.3..in_current_month_what_is_the.10"
"1207","first_visit_anc_patients"
"1208","anc_women_tested_for_hiv"
"1209","tot_number_of_indicators"
"1210","status_of_indicators_on_nhmis_count"
"1211","current_ind_name_2"
"1212","current_ind_label_2"
"1213","anc_data_source"
"1214","anc_data_source2"
"1215","curr_indicator_iteration"
"1216","status_of_data_source_for_c"
"1217","oth_deriv_ind"
"1218","data_source_for_3_month_count"
"1219","current_ind_name_2.1"
"1220","current_ind_label_2.1"
"1221","anc_data_source.1"
"1222","anc_data_source2.1"
"1223","curr_indicator_iteration.1"
"1224","status_of_data_source_for_c.1"
"1225","oth_deriv_ind.1"
"1226","data_source_for_3_month_count.1"
"1227","data_source_for_3_month.1..current_month2"
"1228","data_source_for_3_month.1..current_month_full2"
"1229","data_source_for_3_month.1..data_source_in_current_month2"
"1230","data_source_for_3_month.1..oth_anc_dt_src_in_mth"
"1231","data_source_for_3_month.1..for_current_month_is_the_inf2"
"1232","data_source_for_3_month.1..in_current_month_what_is_the2"
"1233","data_source_for_3_month.2..current_month2"
"1234","data_source_for_3_month.2..current_month_full2"
"1235","data_source_for_3_month.2..data_source_in_current_month2"
"1236","data_source_for_3_month.2..oth_anc_dt_src_in_mth"
"1237","data_source_for_3_month.2..for_current_month_is_the_inf2"
"1238","data_source_for_3_month.2..in_current_month_what_is_the2"
"1239","data_source_for_3_month.3..current_month2"
"1240","data_source_for_3_month.3..current_month_full2"
"1241","data_source_for_3_month.3..data_source_in_current_month2"
"1242","data_source_for_3_month.3..oth_anc_dt_src_in_mth"
"1243","data_source_for_3_month.3..for_current_month_is_the_inf2"
"1244","data_source_for_3_month.3..in_current_month_what_is_the2"
"1245","data_source_for_3_month.1..current_month2.1"
"1246","data_source_for_3_month.1..current_month_full2.1"
"1247","data_source_for_3_month.1..data_source_in_current_month2.1"
"1248","data_source_for_3_month.1..oth_anc_dt_src_in_mth.1"
"1249","data_source_for_3_month.1..for_current_month_is_the_inf2.1"
"1250","data_source_for_3_month.1..in_current_month_what_is_the2.1"
"1251","data_source_for_3_month.2..current_month2.1"
"1252","data_source_for_3_month.2..current_month_full2.1"
"1253","data_source_for_3_month.2..data_source_in_current_month2.1"
"1254","data_source_for_3_month.2..oth_anc_dt_src_in_mth.1"
"1255","data_source_for_3_month.2..for_current_month_is_the_inf2.1"
"1256","data_source_for_3_month.2..in_current_month_what_is_the2.1"
"1257","data_source_for_3_month.3..current_month2.1"
"1258","data_source_for_3_month.3..current_month_full2.1"
"1259","data_source_for_3_month.3..data_source_in_current_month2.1"
"1260","data_source_for_3_month.3..oth_anc_dt_src_in_mth.1"
"1261","data_source_for_3_month.3..for_current_month_is_the_inf2.1"
"1262","data_source_for_3_month.3..in_current_month_what_is_the2.1"
"1263","int_end_time"
"1264","instanceID"
"1265","instanceName"
"1266","X_id"
"1267","X_uuid"
"1268","X_submission_time"
"1269","X_tags"
"1270","X_notes"
"1271","X_version"
"1272","X_duration"
"1273","X_submitted_by"
"1274","X_total_media"
"1275","X_media_count"
"1276","X_media_all_received"
"1277","FacilityLabel"
"1278","StateLabel"
"1279","LGALabel"
